,id,title,adult,overview,original_language,popularity,release_date,vote_average,vote_count
72,459151,The Boss Baby: Family Business,False,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,en,511.824,2021-07-01,7.6,1924
73,585245,Clifford the Big Red Dog,False,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",en,442.718,2021-11-10,7.3,1258
74,829920,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,False,"The Chaldea Organization must deal with the Grand Temple of Solomon, the King of Magic, which has come to destroy the world.",ja,421.242,2021-07-30,6.5,12
75,420821,Chip 'n Dale: Rescue Rangers,False,"Decades after their successful television series was canceled, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again when a former cast mate mysteriously disappears.",en,472.643,2022-05-20,7.3,260
76,949270,40 Years Young,False,"After turning 40, César is invited to a culinary contest in Cancún, but a bitter discovery threatens to destroy his family as well as his chances to win the competition.",es,430.916,2022-03-10,6.1,15
77,935819,"¿Nos casamos? Sí, mi amor",False,"Guille decides it's time to take the next step and proposes to his girlfriend Bea, but things get complicated and nothing goes as planned.",es,392.343,2022-02-03,2.0,1
78,656663,Jackass Forever,False,"Celebrate the joy of a perfectly executed shot to the groin as Johnny Knoxville, Steve-O and the rest of the gang return alongside some newcomers for one final round of hilarious, wildly absurd and often dangerous displays of stunts and comedy.",en,473.042,2022-02-01,7.0,367
79,939336,The Wonderful Winter of Mickey Mouse,False,The wonder of the winter season takes Mickey Mouse and his friends on a journey through three magical stories.,en,273.917,2022-02-18,6.1,6
80,795514,The Fallout,False,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",en,514.967,2022-01-28,7.5,191
81,818750,The In Between,False,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",en,407.81,2022-02-11,7.1,297
82,860159,Crush,False,"When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",en,436.781,2022-04-29,7.5,106
83,512195,Red Notice,False,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",en,377.539,2021-11-04,6.8,3632
84,522016,The 355,False,"A group of top female agents from American, British, Chinese, Columbian and German  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",en,318.499,2022-01-05,6.0,452
85,939243,Sonic the Hedgehog 3,False,"The third film in the ""Sonic the Hedgehog"" franchise.",en,387.518,,0.0,0
86,840882,The Weekend Away,False,"When her best friend vanishes during a girls' trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception.",en,318.224,2022-03-03,6.0,398
87,916740,Brazen,False,Mystery writer Grace Miller has killer instincts when it comes to motive - and she'll need every bit of expertise to help solve her sister's murder.,en,305.18,2022-01-13,4.9,245
88,507086,Jurassic World Dominion,False,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.",en,415.095,2022-06-01,0.0,0
89,877183,The Simpsons in Plusaversary,False,"The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year.",en,377.201,2021-11-12,6.6,288
90,597208,Nightmare Alley,False,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,en,362.692,2021-12-02,7.0,1668
91,871799,Pursuit,False,"Detective Breslin crosses paths with Calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. When Calloway escapes police custody, Breslin joins forces with a no-nonsense female cop to reclaim his prisoner. But is Calloway’s crime-boss father somehow involved in this explosive situation?",en,256.466,2022-02-18,5.6,40
92,19995,Avatar,False,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",en,462.572,2009-12-10,7.5,25446
93,778106,Along for the Ride,False,"The summer before college Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on a nightly quest to help Auden experience the fun, carefree teen life she never knew she wanted.",en,429.513,2022-05-06,6.7,103
94,1865,Pirates of the Caribbean: On Stranger Tides,False,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",en,405.126,2011-05-14,6.5,11975
95,58,Pirates of the Caribbean: Dead Man's Chest,False,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,en,403.936,2006-07-06,7.3,13445
96,910596,Run & Gun,False,"After leaving a life of crime and violence, Ray is a reformed good guy, enjoying a quiet family life in the ‘burbs. But when his past is discovered, Ray is blackmailed into one last job to collect a mysterious package. After a deadly double-cross, he finds himself wounded and on the run from ruthless assassins who will stop at nothing to get what he has. Now, with the lives of his loved ones hanging in the balance and danger at every turn, Ray’s only hope is to draw upon his violent past to survive.",en,232.228,2022-01-11,5.1,24
97,698508,Redeeming Love,False,A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.,en,386.174,2022-01-21,7.7,65
98,842052,Echoes,False,"Julián Lemar, a best-selling suspense writer, goes on vacation with his family to a cabin in the woods. During a strong storm, the power goes out and a woman shows up desperately asking for help: her husband killed her son and now he wants to kill her. From that moment on, danger and deception are a constant threat and for Julián a hellish night begins until he discovers the truth.",es,303.058,2022-01-27,7.1,21
99,828853,Jackass 4.5,False,"Through outrageous, never-before-seen footage, witness the making of the Jackass crew's last go at wild stunts.",en,518.771,2022-05-20,6.7,67
